epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.158,3.0415,5.7903,2.75759,0.00045,0.12302,0.0011,0.00017,3.37896,5.26607,3.14206,0.000554398,0.000554398,0.000554398
2,436.73,2.88296,3.70883,2.68,0.00132,0.21369,0.00479,0.00113,3.08955,4.09045,2.8979,0.00108809,0.00108809,0.00108809
3,637.402,2.87504,3.40433,2.58803,0.00147,0.03311,0.00052,0.00011,3.7206,5.10943,3.48188,0.00159977,0.00159977,0.00159977
4,837.054,2.8112,3.33131,2.59604,0.00313,0.18924,0.00771,0.00186,3.06916,4.03561,2.73984,0.00156798,0.00156798,0.00156798
5,1037.92,2.73874,3.21368,2.53877,0.0294,0.06546,0.01434,0.00305,3.05758,4.45396,2.75345,0.00153497,0.00153497,0.00153497
6,1238.84,2.75175,3.17659,2.50338,0.00224,0.1757,0.00315,0.00056,3.10437,4.15013,2.80336,0.00150197,0.00150197,0.00150197
7,1440.4,2.67108,3.07507,2.4439,0.02104,0.16215,0.02698,0.00681,2.86469,3.11532,2.61407,0.00146896,0.00146896,0.00146896
8,1642.16,2.67602,3.03605,2.43261,0.0225,0.19865,0.03047,0.00772,2.86562,3.03653,2.58285,0.00143595,0.00143595,0.00143595
9,1845.61,2.65995,3.0301,2.39359,0.01914,0.20956,0.0298,0.00716,2.82943,2.95298,2.5529,0.00140295,0.00140295,0.00140295
10,2047.06,2.61934,2.97401,2.36633,0.01644,0.24379,0.03943,0.00986,2.79965,2.83575,2.51595,0.00136994,0.00136994,0.00136994
11,2248.98,2.58698,2.92135,2.31462,0.0146,0.19977,0.02541,0.00709,2.79364,3.14816,2.58537,0.00133693,0.00133693,0.00133693
12,2451.38,2.55257,2.89688,2.29902,0.02337,0.15726,0.02871,0.00756,2.75821,2.92943,2.51341,0.00130393,0.00130393,0.00130393
13,2652.84,2.55715,2.92032,2.32476,0.01615,0.20128,0.02245,0.00609,2.7299,2.99902,2.57981,0.00127092,0.00127092,0.00127092
14,2853.43,2.54175,2.89461,2.32431,0.04934,0.10873,0.04247,0.01102,2.68311,2.83756,2.4757,0.00123791,0.00123791,0.00123791
15,3055,2.51165,2.83921,2.27444,0.02267,0.22686,0.02971,0.00786,2.71671,2.80158,2.51889,0.00120491,0.00120491,0.00120491
16,3242.29,2.5072,2.85692,2.30668,0.05554,0.15463,0.04508,0.01195,2.67052,2.82266,2.42786,0.0011719,0.0011719,0.0011719
17,3425.37,2.48769,2.84025,2.2555,0.04823,0.1298,0.03925,0.00969,2.69262,2.84067,2.44799,0.00113889,0.00113889,0.00113889
18,3609.47,2.46608,2.79803,2.24438,0.03819,0.19112,0.04755,0.01244,2.63164,2.74785,2.40395,0.00110589,0.00110589,0.00110589
19,3794.67,2.43932,2.78698,2.23779,0.0747,0.12077,0.06237,0.01714,2.62748,2.71543,2.40666,0.00107288,0.00107288,0.00107288
20,3975.2,2.44276,2.74991,2.22541,0.08199,0.08691,0.04106,0.01158,2.5872,2.97727,2.4293,0.00103987,0.00103987,0.00103987
21,4155.5,2.44579,2.76849,2.24065,0.04646,0.18811,0.0458,0.01185,2.54675,2.80695,2.36125,0.00100687,0.00100687,0.00100687
22,4336.19,2.41753,2.74601,2.21202,0.05337,0.15989,0.05107,0.01391,2.54454,2.71073,2.37796,0.000973861,0.000973861,0.000973861
23,4520.89,2.39049,2.73879,2.21445,0.05647,0.11964,0.03509,0.00972,2.61155,2.80343,2.43874,0.000940855,0.000940855,0.000940855
24,4702.59,2.38289,2.75136,2.19803,0.07074,0.1091,0.0494,0.01414,2.50316,2.76249,2.34855,0.000907848,0.000907848,0.000907848
25,4886.05,2.36761,2.70355,2.18215,0.06133,0.13619,0.05352,0.01477,2.54379,2.71453,2.39377,0.000874842,0.000874842,0.000874842
26,5064.91,2.36991,2.69939,2.16912,0.03764,0.15613,0.04573,0.01253,2.53025,2.77862,2.36135,0.000841835,0.000841835,0.000841835
27,5243.11,2.35695,2.68642,2.17516,0.04962,0.17269,0.04755,0.01339,2.53209,2.71,2.35757,0.000808828,0.000808828,0.000808828
28,5421.95,2.37552,2.71682,2.17621,0.03817,0.19413,0.04588,0.01346,2.50572,2.69239,2.34567,0.000775822,0.000775822,0.000775822
29,5599.43,2.36026,2.69696,2.147,0.05894,0.13055,0.05224,0.01466,2.50542,2.68343,2.32837,0.000742815,0.000742815,0.000742815
30,5781.53,2.34216,2.68044,2.14636,0.03568,0.17645,0.03821,0.01119,2.52294,2.74125,2.34188,0.000709809,0.000709809,0.000709809
31,5962.25,2.33231,2.67113,2.12397,0.05509,0.13243,0.04292,0.01267,2.48734,2.69406,2.28031,0.000676802,0.000676802,0.000676802
32,6141.81,2.33507,2.65876,2.12358,0.06688,0.14221,0.05308,0.0149,2.5315,2.69025,2.31245,0.000643795,0.000643795,0.000643795
33,6327.03,2.32325,2.63938,2.13316,0.08533,0.11203,0.05059,0.01454,2.50347,2.66912,2.34102,0.000610789,0.000610789,0.000610789
34,6512.01,2.3019,2.63966,2.13239,0.09784,0.114,0.05689,0.01635,2.46165,2.67297,2.28058,0.000577782,0.000577782,0.000577782
